ID,Quantity_Sold_(kilo)
32813,46.759
32814,45.556
32815,3.9210000000000003
32816,5.366
32817,10.0
32831,3.0
32819,1.206
32820,6.0
32821,52.045
32822,3.908
32823,68.0
32824,53.0
32825,8.0
32826,9.0
32827,21.0
32828,6.0
32829,3.0
32818,0.543
32892,0.409
32891,6.0
32890,7.0
32889,19.0
32884,7.0
32887,1.0
32886,15.0
32885,8.0
32893,27.0
32888,10.0
32894,8.0
32900,23.609
32896,9.561
32897,8.374
32898,6.97
32899,5.221
32901,13.0
32902,34.0
32903,27.0
32904,1.0
32905,4.411
32906,10.252
32883,28.0
32895,16.0
32907,14.0
32882,7.0
32880,34.0
32881,14.0
32858,8.007
32859,3.079
32860,0.301
32861,2.333
32862,0.534
32864,0.671
32865,5.352
32866,49.19
32867,35.694
32868,2.49
32863,8.754
32870,1.336
32869,5.153
32878,14.0
32877,41.0
32876,61.0
32875,4.007
32879,9.0
32873,2.0
32872,10.982
32871,4.0
32874,62.13
32947,5.852
32937,15.0
32938,4.0
32939,13.0
32940,0.566
32941,2.223
32942,6.292
32943,10.0
32944,5.0
32945,11.0
32946,23.851
32948,14.415
32961,24.0
32950,0.637
32951,2.7590000000000003
32952,26.875
32953,13.0
32954,6.0
32956,20.0
32957,24.0
32958,8.0
32959,5.806
32960,15.004
32936,10.0
32949,7.285
32935,11.0
32955,27.0
32933,2.0
32908,0.475
32910,0.788
32911,2.198
32912,4.412
32913,2.282
32934,10.0
32914,7.224
32915,69.204
32916,39.012
32917,14.222
32918,55.0
32919,0.613
32909,0.579
32921,12.628
32932,2.0
32931,34.0
32930,5.0
32920,0.753
32928,19.0
32929,35.0
32926,75.0
32925,62.0
32924,5.372
32923,54.478
32922,8.0
32927,15.0
32997,28.82
32996,16.0
32995,10.0
32994,4.617
32989,25.0
32992,1.0430000000000001
32991,20.0
32990,11.0
32998,8.288
32993,2.146
32999,6.9270000000000005
33005,28.0
33001,11.068
33002,19.672
33003,4.0
33004,44.0
33006,27.0
33007,9.0
33008,4.599
33009,28.948
33010,34.0
32988,8.0
33000,8.138
32987,3.0
32984,3.0
32985,11.0
32986,26.0
32963,1.318
32964,5.385
32965,10.245
32966,2.493
32967,7.186
32968,67.31
32969,36.675
32970,40.0
32971,3.855
32972,4.623
32962,0.442
32974,62.995
32975,4.617
32976,69.0
32977,22.0
32978,9.0
32979,10.0
32980,26.0
32981,11.0
32982,5.0
32983,30.0
32973,3.0
33043,3.744
33042,23.753
33041,16.0
33057,18.0
33039,20.0
33038,3.948
33037,0.285
33044,8.534
33040,5.0
33045,4.474
33051,36.0
33047,4.71
33048,21.282
33049,14.0
33050,7.0
33052,22.0
33053,18.0
33054,5.0
33055,3.852
33056,13.825
33036,20.0
33046,3.1550000000000002
33035,1.0
33031,23.0
33033,2.0
33011,0.755
33012,5.018
33013,6.258
33014,55.407
33015,30.797
33016,47.0
33017,0.934
33018,6.0
33019,50.21
33020,5.6450000000000005
33034,14.0
33022,35.0
33023,14.0
33024,11.0
33025,24.0
33026,14.0
33027,5.0
33028,12.0
33029,1.0
33030,7.0
33032,5.0
33021,61.0
33092,29.021
33091,24.0
33090,2.0
33089,24.0
33084,5.0
33087,1.283
33086,3.5940000000000003
33085,24.0
33093,11.737
33088,5.0520000000000005
33094,10.039
33099,10.0
33096,1.88
33097,11.696
33098,20.335
33100,26.0
33101,17.0
33102,12.0
33103,7.0
33104,2.362
33083,12.0
33106,18.0
33095,5.916
33105,14.565
33081,4.0
33080,20.0
33082,5.0
33059,0.287
33060,1.812
33061,4.145
33062,54.967999999999996
33063,30.632
33064,15.0
33065,1.2349999999999999
33066,1.506
33067,10.793
33068,51.754
33058,3.81
33070,59.0
33071,34.0
33072,13.0
33073,14.0
33074,30.0
33075,11.0
33076,4.0
33077,22.0
33078,4.0
33079,12.0
33069,1.867
33138,6.014
33137,17.0
33136,1.0
33131,3.0
33134,4.194
33133,1.716
33132,2.5309999999999997
33139,10.427
33135,19.0
33140,4.573
33151,15.084999999999999
33142,6.766
33143,17.297
33144,15.0
33146,33.0
33147,19.0
33148,8.0
33149,1.0
33150,2.7
33130,7.0
33141,4.144
33129,13.0
33145,13.0
33127,13.0
33128,7.0
33107,2.383
33108,4.711
33109,10.461
33110,53.221
33111,32.376
33113,0.7030000000000001
33114,8.594
33115,56.674
33116,6.345
33112,50.0
33118,36.0
33117,42.0
33125,1.0
33124,37.0
33123,5.0
33126,25.0
33121,27.0
33120,9.0
33119,11.0
33122,11.0
33185,5.88
33177,2.434
33178,4.473
33179,23.0
33180,2.0
33181,35.0
33182,2.028
33183,6.298
33184,3.989
33186,1.41
33197,38.0
33188,19.579
33189,21.0
33190,7.0
33191,32.0
33192,18.0
33193,8.0
33194,4.0
33195,3.645
33196,12.453
33176,1.09
33187,6.604
33175,8.0
33174,12.0
33173,8.0
33153,1.326
33154,4.07
33155,53.45
33156,26.546
33157,35.0
33158,0.7130000000000001
33159,0.327
33160,5.403
33161,57.983
33162,4.047
33152,1.41
33164,40.0
33165,13.0
33166,14.0
33167,28.0
33168,3.0
33169,35.0
33170,2.0
33171,6.0
33172,27.0
33163,55.0
33231,2.927
33230,13.645999999999999
33229,18.074
33224,0.793
33227,2.0
33226,34.0
33225,4.946
33232,1.724
33228,20.0
33233,4.766
33238,26.0
33235,19.456
33236,12.0
33237,7.0
33239,17.0
33240,12.0
33241,3.146
33242,17.487
33243,27.0
33223,0.527
33234,9.439
33222,1.0
33221,7.0
33220,15.0
33198,0.472
33199,2.7359999999999998
33200,5.739
33201,55.454
33202,36.012
33203,35.0
33205,11.406
33206,58.153
33207,0.934
33208,58.0
33204,0.8340000000000001
33210,14.0
33209,43.0
33218,7.0
33217,14.0
33216,9.0
33215,6.0
33219,3.0
33213,14.0
33212,21.0
33211,11.0
33214,40.0
33278,12.689
33269,18.0
33270,1.59
33271,2.6270000000000002
33272,4.439
33273,59.0
33274,4.0
33275,34.0
33276,33.279
33277,14.629
33279,6.409
33267,19.0
33281,13.591
33282,30.0
33283,22.0
33284,12.0
33285,33.0
33286,23.0
33287,12.0
33288,5.255
33289,20.621000000000002
33268,12.0
33280,11.464
33290,25.0
33260,8.0
33265,1.0
33244,0.411
33245,0.176
33246,3.609
33247,9.092
33248,72.596
33249,50.067
33266,4.0
33251,18.27
33252,65.167
33253,3.443
33250,80.0
33255,71.0
33254,69.0
33263,4.0
33262,11.0
33261,42.0
33264,31.0
33259,7.0
33258,32.0
33257,19.0
33256,14.0
33317,2.051
33318,0.48
33338,14.0
33320,23.0
33321,5.0
33322,20.0
33323,51.621
33324,16.106
33325,11.434
33326,9.238
33316,23.0
33328,16.553
33329,40.711
33330,25.0
33331,14.0
33332,48.0
33333,16.0
33334,14.0
33335,2.429
33336,6.125
33337,17.957
33327,12.267
33315,11.0
33319,4.5600000000000005
33313,5.0
33292,80.196
33293,4.239
33294,66.974
33295,1.945
33296,15.0
33297,2.44
33298,0.792
33299,43.274
33300,4.167
33301,54.0
33291,9.098
33303,15.0
33302,51.0
33312,9.0
33311,33.0
33310,21.0
33309,7.0
33314,5.0
33307,8.0
33306,15.0
33305,23.0
33304,15.0
33308,28.0
33364,0.9650000000000001
33365,8.415
33366,17.0
33367,5.0
33368,23.0
33369,36.047000000000004
33370,10.01
33371,12.643
33372,7.038
33373,6.98
33375,30.575
33376,7.0
33377,13.0
33378,33.0
33380,9.0
33381,2.35
33382,4.227
33383,13.879999999999999
33384,17.0
33363,1.0510000000000002
33374,8.99
33379,28.0
33362,8.0
33360,17.0
33361,2.0
33339,2.383
33340,5.787
33341,54.823
33342,34.299
33343,55.0
33345,9.047
33346,24.633
33347,8.251999999999999
33348,51.0
33344,0.984
33350,20.0
33351,14.0
33352,30.0
33353,14.0
33354,5.0
33355,6.0
33356,6.0
33357,29.0
33358,10.0
33349,40.0
33359,6.0
33420,7.287
33419,17.224
33418,24.323999999999998
33417,20.0
33412,1.182
33415,38.0
33414,2.83
33413,1.978
33421,6.764
33416,10.0
33422,4.984
33434,10.689
33424,27.838
33425,9.0
33426,11.0
33427,41.0
33428,22.0
33429,2.0
33430,11.0
33431,2.0
33432,3.914
33433,6.696
33435,25.0
33423,7.624
33410,9.0
33411,5.582
33408,19.0
33385,5.726
33386,5.397
33387,2.501
33388,6.379
33389,53.382
33390,30.835
33391,25.0
33392,2.52
33393,1.0
33394,18.06
33395,5.532
33409,3.0
33397,48.0
33398,12.0
33399,15.0
33400,23.0
33401,8.0
33402,3.0
33403,53.0
33404,4.0
33405,12.0
33406,39.0
33407,5.0
33396,64.0
33470,9.222
33469,13.068
33468,27.061
33467,20.0
33462,3.753
33465,13.0
33464,5.4670000000000005
33463,2.407
33471,5.711
33466,2.0
33472,5.187
33478,1.0
33474,29.112000000000002
33475,13.0
33476,37.0
33477,32.0
33479,11.0
33480,1.0
33481,2.355
33482,3.6189999999999998
33483,9.902
33461,3.003
33473,9.034
33484,25.0
33459,4.0
33458,16.0
33460,10.0
33436,2.82
33437,6.0360000000000005
33438,58.56
33439,48.185
33440,45.0
33442,7.012
33443,34.02
33444,6.437
33445,76.0
33446,45.0
33441,0.8240000000000001
33448,14.0
33447,19.0
33456,6.0
33455,22.0
33454,4.0
33453,4.0
33457,1.0
33451,2.0
33450,12.0
33449,30.0
33452,26.0
33521,2.529
33512,2.379
33513,1.273
33514,4.7909999999999995
33515,24.0
33516,7.0
33517,20.0
33534,39.0
33519,22.393
33520,4.059
33522,8.257
33511,2.027
33524,43.931
33525,19.0
33526,15.0
33527,32.0
33528,19.0
33529,5.0
33530,3.0
33531,3.616
33532,4.682
33533,15.924999999999999
33523,9.755
33510,22.0
33518,68.994
33508,37.0
33485,2.802
33486,8.358
33487,77.794
33488,40.716
33489,7.642
33490,25.0
33491,3.314
33492,25.506
33493,46.095
33494,8.967
33495,63.0
33509,7.0
33497,12.0
33498,14.0
33499,22.0
33500,15.0
33501,6.0
33502,31.0
33503,12.0
33504,8.0
33505,34.0
33506,10.0
33507,4.0
33496,41.0
33570,6.087
33569,27.492
33568,61.624
33567,18.0
33562,7.204
33565,29.0
33564,8.281
33563,10.388
33571,4.18
33566,8.0
33572,23.06
33578,30.0
33574,34.023
33575,17.0
33576,10.0
33577,32.0
33579,21.0
33580,12.0
33581,3.339
33582,6.402
33583,1.325
33584,31.0
33561,1.978
33573,51.508
33560,60.0
33557,10.0
33558,36.0
33535,54.363
33559,16.0
33537,152.132
33538,76.894
33539,40.0
33540,0.874
33541,3.0
33542,3.593
33543,61.26
33544,15.048
33545,61.0
33536,4.029
33547,13.0
33546,13.0
33555,38.0
33554,15.0
33553,8.0
33556,10.0
33551,11.0
33550,7.0
33549,4.0
33548,24.0
33552,54.0
33615,5.659
33608,6.8740000000000006
33609,29.0
33610,11.0
33611,19.0
33612,28.179000000000002
33613,9.293
33614,7.94
33616,8.59
33622,24.0
33618,44.761
33619,9.0
33620,12.0
33621,37.0
33623,2.181
33624,5.008
33625,25.47
33626,28.0
33607,6.0440000000000005
33617,0.392
33606,1.971
33601,10.0
33604,5.0
33585,3.777
33586,78.363
33587,62.953
33588,20.0
33589,0.863
33590,14.324
33591,72.139
33592,9.659
33593,117.0
33605,18.0
33595,12.0
33596,34.0
33597,9.0
33598,4.0
33599,27.0
33600,6.0
33602,39.0
33603,3.0
33594,79.0
33659,45.847
33658,27.0
33657,5.0
33653,1.016
33655,7.021
33654,6.0889999999999995
33660,12.17
33652,1.609
33656,27.0
33661,8.982
33665,12.0
33663,4.843
33664,33.325
33666,9.0
33667,1.0
33668,13.0
33669,1.1119999999999999
33670,4.612
33651,20.0
33672,23.0
33662,7.12
33671,27.705
33650,26.0
33648,10.0
33649,1.0
33628,48.873
33629,51.027
33630,25.0
33631,0.311
33632,17.766
33633,1.0
33634,48.318
33635,14.39
33636,2.273
33627,6.914
33638,81.0
33637,106.0
33646,3.0
33645,9.0
33644,44.0
33647,39.0
33642,18.0
33641,32.0
33640,11.0
33639,15.0
33643,4.0
33705,10.843
33697,7.708
33699,2.0
33700,19.0
33701,32.504
33702,12.709
33703,4.646
33704,4.518
33706,2.423
33712,6.0
33708,12.0
33709,8.0
33710,25.0
33711,14.0
33713,1.388
33714,1.479
33715,6.746
33716,18.0
33696,3.037
33707,20.595
33695,0.929
33698,28.0
33693,8.0
33673,1.241
33674,24.608999999999998
33675,16.789
33676,40.0
33677,0.512
33679,1.064
33680,61.0
33681,26.0
33682,25.0
33683,9.0
33678,32.336
33685,10.0
33686,3.0
33687,8.0
33688,5.0
33689,4.0
33690,27.0
33694,11.0
33691,1.0
33692,2.0
33684,23.0
33751,5.878
33750,9.498
33749,17.879
33748,7.0
33743,1.358
33746,22.0
33745,5.963
33744,3.27
33752,4.946
33747,3.0
33753,3.473
33764,18.0
33755,14.283
33756,4.0
33757,4.0
33758,14.0
33759,11.0
33760,10.0
33761,0.484
33762,2.572
33763,9.129
33742,0.961
33754,3.17
33741,6.0
33740,4.0
33739,6.0
33718,28.756
33719,32.058
33720,1.0
33721,45.0
33722,0.612
33723,3.228
33724,5.98
33725,30.294
33726,6.929
33727,49.0
33717,1.846
33729,12.0
33730,4.0
33731,42.0
33732,8.0
33733,5.0
33734,31.0
33735,3.0
33736,13.0
33737,2.0
33738,3.0
33728,41.0
33796,9.553
33795,25.835
33794,12.0
33789,0.783
33792,17.0
33809,19.0
33790,6.134
33797,5.139
33793,2.0
33798,4.783
33803,4.0
33800,4.088
33801,33.292
33802,4.0
33804,12.0
33805,16.0
33806,5.0
33807,0.909
33808,4.867
33788,1.259
33799,4.75
33787,9.0
33791,6.8
33785,5.0
33765,3.088
33766,13.668
33767,28.985
33768,20.0
33769,1.447
33770,9.424
33771,14.233
33772,5.392
33773,45.0
33774,21.0
33786,4.0
33776,6.0
33777,26.0
33778,8.0
33779,8.0
33780,5.0
33781,8.0
33782,18.0
33783,7.0
33784,1.0
33775,18.0
33848,13.0
33847,2.0
33846,31.0
33845,8.456
33840,4.0
33843,2.479
33842,1.829
33841,11.0
33849,25.381
33839,3.0
33844,7.126
33850,8.253
33855,30.597
33852,4.6370000000000005
33853,2.669
33854,6.5120000000000005
33856,9.0
33857,1.0
33858,4.0
33859,23.0
33860,5.0
33838,8.0
33862,9.08
33863,11.0
33851,3.765
33861,1.823
33837,15.0
33835,4.0
33836,1.0
33811,11.562
33812,1.147
33813,0.326
33814,3.541
33815,15.679
33816,33.179
33817,32.422
33818,0.616
33819,0.441
33820,10.0
33821,0.341
33810,0.328
33823,0.98
33822,3.0
33833,4.0
33832,7.0
33831,5.0
33830,12.0
33834,30.0
33828,18.0
33827,24.0
33826,3.333
33825,21.999
33824,12.452
33829,14.0
33899,24.317
33898,9.0
33897,4.0
33896,12.0
33894,6.877
33893,1.03
33892,0.789
33891,9.0
33900,14.782
33895,7.139
33901,5.371
33907,35.0
33903,2.586
33904,1.904
33905,19.613
33906,10.0
33908,16.0
33909,2.0
33910,1.986
33911,7.953
33912,26.0
33890,9.0
33902,5.998
33889,5.0
33877,41.0
33887,2.0
33864,19.793
33865,1.491
33866,3.289
33867,2.6590000000000003
33868,0.581
33869,28.473
33871,20.0
33872,5.0
33873,13.657
33874,37.225
33875,6.998
33870,21.581
33888,5.0
33876,12.0
33885,9.0
33884,1.0
33883,31.0
33882,10.0
33886,20.0
33880,10.0
33879,3.0
33878,15.0
33881,5.0
33949,17.337
33940,28.0
33941,2.859
33942,2.55
33943,12.688
33944,7.957
33945,53.0
33946,2.0
33947,22.0
33948,25.656
33950,6.011
33962,18.0
33952,5.07
33953,14.244
33954,12.225
33955,8.0
33956,8.0
33957,47.0
33958,27.0
33959,5.0
33960,3.002
33961,22.252
33939,7.0
33951,6.792
33938,22.0
33936,35.0
33914,0.153
33913,19.117
33937,2.0
33915,2.55
33916,19.949
33917,0.165
33918,45.773
33919,60.116
33921,1.385
33922,1.0
33923,10.691
33924,30.855
33920,35.0
33926,22.0
33925,0.24
33934,1.0
33933,7.0
33932,7.0
33931,3.0
33935,8.0
33929,31.0
33928,6.0
33927,16.0
33930,12.0
33995,3.157
33987,34.0
33988,49.0
33989,2.2880000000000003
33990,4.732
33991,5.903
33992,7.0
33993,18.712
33994,17.108
33996,5.975
33986,4.0
33998,28.7
33999,1.0
34000,4.0
34001,29.0
34002,8.0
34003,2.729
34004,14.079
34005,30.0
34006,14.0
33997,6.185
33985,12.0
33981,45.0
33983,7.0
33963,0.189
33964,0.263
33965,3.138
33966,43.124
33967,5.881
33968,5.84
33969,59.804
33970,65.93599999999999
33971,20.0
33972,18.631
33984,32.0
33974,47.592
33975,11.0
33976,7.839
33977,62.0
33978,19.0
33979,22.0
33980,7.0
33982,8.0
33973,0.224
34038,9.649
34037,44.448
34036,17.0
34032,2.339
34034,14.0
34033,4.302
34039,7.028
34031,18.0
34035,1.0
34040,3.852
34045,7.0
34042,6.047
34043,8.871
34044,5.0
34046,20.0
34047,24.0
34048,1.0
34049,13.0
34050,2.035
34030,2.0
34052,22.0
34041,3.876
34051,0.235
34029,11.0
34027,9.0
34028,2.0
34007,1.562
34008,3.455
34009,36.867
34010,33.775
34011,15.0
34013,19.702
34014,11.0
34015,53.0
34016,50.0
34012,13.156
34018,8.0
34017,18.0
34025,17.0
34024,5.0
34023,29.0
34026,1.0
34021,11.0
34020,2.0
34019,10.0
34022,9.0
34083,13.812999999999999
34077,25.0
34078,4.816
34079,4.812
34080,16.0
34081,2.0
34095,29.586
34082,11.0
34084,0.393
34076,5.0
34086,4.728
34087,5.019
34088,1.549
34089,38.265
34090,7.0
34091,20.0
34092,18.0
34093,1.0
34094,3.961
34085,5.185
34075,1.0
34066,9.0
34073,11.0
34074,2.0
34053,2.5
34055,7.036
34056,28.473
34057,45.481
34058,40.0
34059,4.4350000000000005
34060,0.222
34061,31.227
34054,1.366
34063,57.0
34062,3.0
34072,8.0
34070,4.0
34069,20.0
34071,6.0
34067,13.0
34065,6.0
34064,29.0
34068,6.0
34116,3.229
34121,4.1240000000000006
34117,19.0
34118,13.0
34119,24.114
34120,2.161
34122,8.937
34127,5.0
34124,0.683
34125,19.792
34126,4.0
34128,23.0
34129,19.0
34130,1.0350000000000001
34115,2.167
34123,2.35
34114,0.414
34113,9.0
34112,19.0
34096,0.688
34097,0.271
34098,15.469000000000001
34099,23.994
34101,20.005
34102,5.0
34103,52.0
34100,11.446
34105,18.0
34106,10.0
34107,10.0
34108,4.0
34109,6.0
34110,4.0
34111,10.0
34104,31.0
34161,13.0
34160,3.0
34174,31.0
34155,1.301
34157,3.0549999999999997
34156,1.425
34162,27.275
34158,8.88
34163,4.095
34172,3.511
34165,1.326
34166,7.895
34167,19.245
34168,10.0
34169,6.0
34170,25.0
34171,23.0
34154,15.0
34173,10.33
34164,5.127
34153,2.0
34159,18.0
34151,4.0
34131,1.377
34132,10.237
34133,28.258
34134,28.89
34135,5.0
34136,15.956999999999999
34137,21.685
34138,14.0
34139,2.243
34140,49.0
34152,14.0
34142,31.0
34143,7.0
34144,15.0
34145,1.0
34146,7.0
34147,5.0
34148,8.0
34149,20.0
34150,3.0
34141,55.0
34207,35.733000000000004
34206,12.0
34205,3.0
34200,0.477
34203,4.998
34202,0.9410000000000001
34201,2.262
34208,9.934
34204,13.0
34209,7.933
34214,7.0
34211,2.87
34212,19.114
34213,8.0
34215,34.0
34216,22.0
34217,1.0
34218,5.0
34219,1.3900000000000001
34199,9.0
34221,21.0
34210,2.0140000000000002
34220,14.425
34198,2.0
34196,6.0
34197,8.0
34175,0.604
34176,8.245
34177,23.302
34178,38.188
34179,4.316
34181,8.204
34182,25.696
34183,10.0
34184,68.0
34180,3.0
34186,29.0
34185,39.0
34194,18.0
34193,11.0
34192,6.0
34191,11.0
34195,5.0
34189,1.0
34188,15.0
34187,7.0
34190,9.0
34254,14.889
34247,3.754
34267,33.0
34248,2.083
34249,3.8520000000000003
34250,3.0
34251,5.0
34252,30.0
34253,38.307
34255,8.012
34246,1.317
34257,9.781
34258,20.998
34259,12.0
34260,3.0
34261,5.0
34262,54.0
34263,18.0
34264,0.909
34265,6.265
34266,3.0
34256,5.957
34245,23.0
34241,6.0
34243,19.0
34244,1.0
34222,1.225
34223,10.792
34224,32.628
34225,59.737
34227,14.598
34228,36.648
34229,25.0
34230,103.0
34231,45.0
34226,5.529
34233,17.0
34234,21.0
34235,3.0
34236,8.0
34237,32.0
34238,5.0
34239,13.0
34240,20.0
34242,5.0
34232,43.0
34302,9.058
34301,16.082
34300,52.019
34299,16.0
34294,0.789
34297,7.619
34296,15.182
34295,2.98
34303,8.984
34298,2.0
34304,6.009
34315,1.0
34306,31.097
34307,9.0
34308,5.0
34309,56.0
34310,35.0
34311,6.0
34312,0.8140000000000001
34313,25.452
34314,28.0
34293,37.0
34305,12.353
34292,6.0
34291,19.0
34290,9.0
34269,0.551
34270,31.447
34271,75.931
34272,1.0
34273,20.0
34274,4.422
34275,18.519
34276,32.819
34277,21.0
34278,104.0
34268,0.6719999999999999
34280,48.0
34281,11.0
34282,28.0
34283,10.0
34284,9.0
34285,35.0
34286,5.0
34287,16.0
34288,25.0
34289,4.0
34279,51.0
34347,6.584
34346,10.776
34345,23.057000000000002
34340,15.0
34343,6.219
34342,6.7860000000000005
34341,2.197
34348,2.832
34344,4.0
34349,1.141
34354,28.0
34351,27.303
34352,9.0
34353,10.0
34355,26.0
34356,3.0
34357,2.091
34358,16.383
34359,26.0
34339,4.0
34350,9.671
34338,12.0
34335,22.0
34336,1.0
34316,0.25
34317,25.855
34318,26.973
34319,2.967
34320,20.0
34321,5.529
34322,16.319
34323,7.0
34324,3.177
34325,66.0
34337,9.0
34327,33.0
34328,15.0
34329,11.0
34330,5.0
34331,4.0
34332,21.0
34333,6.0
34334,1.0
34326,21.0
34390,8.495000000000001
34389,22.394
34388,6.0
34384,9.0
34386,1.6099999999999999
34385,1.879
34391,6.0489999999999995
34383,1.0
34387,11.046
34392,2.6390000000000002
34396,18.467
34394,6.604
34395,4.283
34397,7.0
34398,52.0
34399,37.0
34400,7.0
34401,3.371
34382,10.0
34403,10.0
34393,0.7969999999999999
34402,4.598
34381,4.0
34379,7.0
34380,20.0
34360,0.235
34361,7.322
34362,20.672
34363,24.538
34364,2.462
34366,4.95
34367,6.069
34368,23.519
34365,15.0
34370,49.0
34369,4.0
34377,3.0
34376,6.0
34375,6.0
34378,5.0
34373,8.0
34372,8.0
34371,16.0
34374,18.0
34436,5.726
34428,4.0
34429,15.0
34431,2.125
34432,8.082
34433,3.0
34434,33.975
34435,7.641
34437,2.884
34427,7.0
34439,0.368
34440,6.311
34441,33.0
34442,37.0
34443,11.0
34444,7.0
34445,0.333
34446,8.517
34447,7.0
34438,9.136
34426,1.0
34430,1.268
34424,6.0
34425,5.0
34404,1.444
34405,2.864
34406,13.34
34407,26.202
34408,4.283
34409,15.0
34411,10.303
34412,20.356
34413,6.0
34410,3.102
34415,9.0
34423,3.0
34414,17.062
34421,1.0
34420,23.0
34422,2.0
34418,14.0
34417,42.0
34416,38.0
34419,11.0
34473,12.0
34481,6.9479999999999995
34474,5.0
34475,15.0
34476,1.829
34477,4.2
34478,5.418
34479,3.0
34480,27.626
34482,4.089
34493,8.997
34484,2.084
34485,3.534
34486,23.428
34487,4.0
34488,26.0
34489,30.0
34490,21.0
34491,3.0
34492,11.0
34494,10.0
34483,7.2
34471,1.0
34472,2.0
34469,6.0
34470,3.0
34448,12.558
34449,1.0070000000000001
34450,2.3
34451,1.5830000000000002
34452,17.001
34454,5.893
34455,5.0
34456,8.004
34457,2.099
34453,25.24
34459,13.606
34460,11.0
34461,12.0
34462,26.0
34463,11.0
34464,6.0
34465,17.0
34466,8.0
34467,22.0
34458,8.0
34468,9.0
34529,11.906
34528,5.0
34527,6.871
34526,12.012
34521,14.0
34524,3.77
34523,42.0
34522,2.0
34530,0.813
34525,5.872
34531,6.847
34542,9.047
34533,0.95
34534,0.33
34535,38.731
34536,4.0
34537,43.0
34538,24.0
34539,27.0
34540,7.0
34541,3.499
34543,32.0
34532,4.709
34519,1.0
34520,13.0
34517,9.0
34495,3.428
34496,5.822
34497,2.634
34498,3.37
34499,28.237
34500,51.805
34501,3.257
34502,10.0
34503,5.294
34504,11.722
34505,11.0
34518,20.0
34507,43.0
34508,79.0
34509,51.0
34510,19.0
34511,8.0
34512,22.0
34513,8.0
34514,29.0
34515,6.0
34516,1.0
34506,27.199
34578,12.712
34577,13.0
34576,6.269
34575,14.863
34570,4.0
34573,0.516
34572,13.0
34571,14.0
34579,7.527
34574,0.49
34580,5.361
34585,41.0
34582,27.446
34583,7.0
34584,48.0
34586,30.0
34587,11.0
